RECDATETIME,SPECDESCSCI
2018-09-06 20:02:44,Pipistrellus pipistrellus
2018-09-06 20:02:52,Pipistrellus pipistrellus
2018-09-06 20:02:57,Pipistrellus pipistrellus
2018-09-06 20:04:03,Pipistrellus pipistrellus
2018-09-06 20:04:11,Pipistrellus pipistrellus
2018-09-06 20:04:27,Pipistrellus pipistrellus
2018-09-06 20:05:10,Pipistrellus pipistrellus
2018-09-06 20:05:31,Pipistrellus pipistrellus
2018-09-06 20:05:40,Pipistrellus pipistrellus
2018-09-06 20:05:42,Pipistrellus pipistrellus
2018-09-06 20:05:48,Pipistrellus pipistrellus
2018-09-06 20:05:55,Pipistrellus pipistrellus
2018-09-06 20:05:57,Pipistrellus pipistrellus
2018-09-06 20:06:03,Pipistrellus pipistrellus
2018-09-06 20:06:09,Pipistrellus pipistrellus
2018-09-06 20:06:22,Pipistrellus pipistrellus
2018-09-06 20:06:30,Pipistrellus pipistrellus
2018-09-06 20:06:42,Pipistrellus pipistrellus
2018-09-06 20:06:47,Pipistrellus pipistrellus
2018-09-06 20:06:52,Pipistrellus pipistrellus
2018-09-06 20:07:03,Pipistrellus pipistrellus
2018-09-06 20:07:25,Pipistrellus pipistrellus
2018-09-06 20:07:29,Pipistrellus pipistrellus
2018-09-06 20:07:53,Pipistrellus pipistrellus
2018-09-06 20:07:59,Pipistrellus pipistrellus
2018-09-06 20:08:18,Pipistrellus pipistrellus
2018-09-06 20:10:06,Pipistrellus pipistrellus
2018-09-06 20:10:46,Pipistrellus pipistrellus
2018-09-06 20:10:53,Pipistrellus pipistrellus
2018-09-06 20:11:27,Pipistrellus pipistrellus
2018-09-06 20:11:30,Pipistrellus pipistrellus
2018-09-06 20:11:33,Pipistrellus pipistrellus
2018-09-06 20:11:35,Pipistrellus pipistrellus
2018-09-06 20:11:38,Pipistrellus pipistrellus
2018-09-06 20:11:42,Pipistrellus pipistrellus
2018-09-06 20:11:49,Pipistrellus pipistrellus
2018-09-06 20:11:58,Pipistrellus pipistrellus
2018-09-06 20:12:02,Pipistrellus pipistrellus
2018-09-06 20:12:04,Pipistrellus pipistrellus
2018-09-06 20:12:07,Pipistrellus pipistrellus
2018-09-06 20:12:11,Pipistrellus pipistrellus
2018-09-06 20:12:17,Pipistrellus pipistrellus
2018-09-06 20:12:20,Pipistrellus pipistrellus
2018-09-06 20:12:27,Pipistrellus pipistrellus
2018-09-06 20:12:38,Pipistrellus pipistrellus
2018-09-06 20:12:55,Pipistrellus pipistrellus
2018-09-06 20:13:00,Pipistrellus pipistrellus
2018-09-06 20:13:05,Pipistrellus pipistrellus
2018-09-06 20:13:08,Pipistrellus pipistrellus
2018-09-06 20:13:14,Pipistrellus pipistrellus
2018-09-06 20:13:22,Pipistrellus pipistrellus
2018-09-06 20:13:27,Pipistrellus pipistrellus
2018-09-06 20:13:34,Pipistrellus pipistrellus
2018-09-06 20:13:38,Pipistrellus pipistrellus
2018-09-06 20:13:57,Pipistrellus pipistrellus
2018-09-06 20:14:07,Pipistrellus pipistrellus
2018-09-06 20:14:11,Pipistrellus pipistrellus
2018-09-06 20:14:23,Pipistrellus pipistrellus
2018-09-06 20:14:36,Pipistrellus pipistrellus
2018-09-06 20:14:45,Pipistrellus pipistrellus
2018-09-06 20:15:05,Pipistrellus pipistrellus
2018-09-06 20:15:16,Pipistrellus pipistrellus
2018-09-06 20:15:20,Pipistrellus pipistrellus
2018-09-06 20:15:23,Pipistrellus pipistrellus
2018-09-06 20:15:27,Pipistrellus pipistrellus
2018-09-06 20:15:30,Pipistrellus pipistrellus
2018-09-06 20:15:33,Pipistrellus pipistrellus
2018-09-06 20:15:38,Pipistrellus pipistrellus
2018-09-06 20:15:42,Pipistrellus pipistrellus
2018-09-06 20:15:45,Pipistrellus pipistrellus
2018-09-06 20:15:50,Pipistrellus pipistrellus
2018-09-06 20:16:00,Pipistrellus pipistrellus
2018-09-06 20:16:03,Pipistrellus pipistrellus
2018-09-06 20:16:27,Pipistrellus pipistrellus
2018-09-06 20:16:36,Pipistrellus pipistrellus
2018-09-06 20:16:39,Pipistrellus pipistrellus
2018-09-06 20:16:46,Pipistrellus pipistrellus
2018-09-06 20:16:54,Pipistrellus pipistrellus
2018-09-06 20:17:15,Pipistrellus pipistrellus
2018-09-06 20:17:17,Pipistrellus pipistrellus
2018-09-06 20:17:25,Pipistrellus pipistrellus
2018-09-06 20:17:41,Pipistrellus pipistrellus
2018-09-06 20:17:45,Pipistrellus pipistrellus
2018-09-06 20:17:48,Pipistrellus pipistrellus
2018-09-06 20:20:20,Pipistrellus pipistrellus
2018-09-06 20:20:33,Pipistrellus pipistrellus
2018-09-06 20:20:35,Pipistrellus pipistrellus
2018-09-06 20:20:47,Pipistrellus pipistrellus
2018-09-06 20:22:22,Pipistrellus pipistrellus
2018-09-06 20:22:27,Pipistrellus pipistrellus
2018-09-06 20:22:33,Pipistrellus pipistrellus
2018-09-06 20:22:35,Pipistrellus pipistrellus
2018-09-06 20:22:38,Pipistrellus pipistrellus
2018-09-06 20:22:43,Pipistrellus pipistrellus
2018-09-06 20:22:50,Pipistrellus pipistrellus
2018-09-06 20:22:58,Pipistrellus pipistrellus
2018-09-06 20:23:04,Pipistrellus pipistrellus
2018-09-06 20:23:06,Pipistrellus pipistrellus
2018-09-06 20:23:17,Pipistrellus pipistrellus
2018-09-06 20:23:22,Pipistrellus pipistrellus
2018-09-06 20:23:25,Pipistrellus pipistrellus
2018-09-06 20:23:29,Pipistrellus pipistrellus
2018-09-06 20:23:37,Pipistrellus pipistrellus
2018-09-06 20:23:52,Pipistrellus pipistrellus
2018-09-06 20:23:56,Pipistrellus pipistrellus
2018-09-06 20:23:58,Pipistrellus pipistrellus
2018-09-06 20:24:02,Pipistrellus pipistrellus
2018-09-06 20:24:05,Pipistrellus pipistrellus
2018-09-06 20:24:14,Pipistrellus pipistrellus
2018-09-06 20:24:18,Pipistrellus pipistrellus
2018-09-06 20:24:21,Pipistrellus pipistrellus
2018-09-06 20:24:30,Pipistrellus pipistrellus
2018-09-06 20:24:32,Pipistrellus pipistrellus
2018-09-06 20:24:36,Pipistrellus pipistrellus
2018-09-06 20:24:39,Pipistrellus pipistrellus
2018-09-06 20:24:49,Pipistrellus pipistrellus
2018-09-06 20:24:54,Pipistrellus pipistrellus
2018-09-06 20:25:01,Pipistrellus pipistrellus
2018-09-06 20:25:04,Pipistrellus pipistrellus
2018-09-06 20:25:07,Pipistrellus pipistrellus
2018-09-06 20:25:10,Pipistrellus pipistrellus
2018-09-06 20:25:13,Pipistrellus pipistrellus
2018-09-06 20:25:20,Pipistrellus pipistrellus
2018-09-06 20:25:26,Pipistrellus pipistrellus
2018-09-06 20:25:32,Pipistrellus pipistrellus
2018-09-06 20:25:34,Pipistrellus pipistrellus
2018-09-06 20:25:41,Pipistrellus pipistrellus
2018-09-06 20:25:45,Pipistrellus pipistrellus
2018-09-06 20:25:48,Pipistrellus pipistrellus
2018-09-06 20:25:51,Pipistrellus pipistrellus
2018-09-06 20:25:54,Pipistrellus pipistrellus
2018-09-06 20:25:57,Pipistrellus pipistrellus
2018-09-06 20:26:04,Pipistrellus pipistrellus
2018-09-06 20:26:10,Pipistrellus pipistrellus
2018-09-06 20:26:21,Pipistrellus pipistrellus
2018-09-06 20:26:26,Pipistrellus pipistrellus
2018-09-06 20:26:31,Pipistrellus pipistrellus
2018-09-06 20:26:34,Pipistrellus pipistrellus
2018-09-06 20:26:38,Pipistrellus pipistrellus
2018-09-06 20:26:41,Pipistrellus pipistrellus
2018-09-06 20:26:47,Pipistrellus pipistrellus
2018-09-06 20:26:50,Pipistrellus pipistrellus
2018-09-06 20:26:53,Pipistrellus pipistrellus
2018-09-06 20:26:57,Pipistrellus pipistrellus
2018-09-06 20:27:01,Pipistrellus pipistrellus
2018-09-06 20:27:06,Pipistrellus pipistrellus
2018-09-06 20:27:09,Pipistrellus pipistrellus
2018-09-06 20:27:11,Pipistrellus pipistrellus
2018-09-06 20:27:13,Pipistrellus pipistrellus
2018-09-06 20:27:15,Pipistrellus pipistrellus
2018-09-06 20:27:23,Pipistrellus pipistrellus
2018-09-06 20:27:36,Pipistrellus pipistrellus
2018-09-06 20:27:44,Pipistrellus pipistrellus
2018-09-06 20:27:51,Pipistrellus pipistrellus
2018-09-06 20:27:56,Pipistrellus pipistrellus
2018-09-06 20:28:01,Pipistrellus pipistrellus
2018-09-06 20:28:03,Pipistrellus pipistrellus
2018-09-06 20:28:07,Pipistrellus pipistrellus
2018-09-06 20:28:10,Pipistrellus pipistrellus
2018-09-06 20:28:13,Pipistrellus pipistrellus
2018-09-06 20:28:24,Pipistrellus pipistrellus
